Exp_A,Exp_B,Exp_C
0.7974781219561013,0.7957809933177205,0.7324581215443676
0.7412367681889358,0.7432273796268274,0.7105888198724818
0.8526952197843224,0.8536599232835049,0.8462612917523502
0.8081264064552127,0.8059249470865286,0.7875821430338743
0.7789809703262822,0.7784135987549876,0.710091160039471
0.7466532832485739,0.7494564706663889,0.6832015724515481
0.7759094927665646,0.7750846306194594,0.7537591432441082
0.7770495584323864,0.7757034242291917,0.7539856184340179
0.7586033009618043,0.7562379028354542,0.7403709892134314
0.8496330184131957,0.8508200019443625,0.8295335520743365
0.7930187433002935,0.7926881463642925,0.7900583686856402
0.6989905745436655,0.6969194881027331,0.6957097556405791
0.7930863708695861,0.7946438872164451,0.7567445616068499
0.7792240503332557,0.7758750700853423,0.7546419196681424
0.8285890781470798,0.8281616690404744,0.7780959247627786
0.8215367592275484,0.821533667594291,0.8027224664424214
0.814674689278275,0.8150335529570457,0.8042672605309891
0.7960748517773111,0.7965272905397476,0.7859799174758438
0.8213966218121767,0.8220456834231583,0.803250875696614
0.8069561019468395,0.8061375647853279,0.7835351445132537
0.8284485090023076,0.828281802333872,0.7744292573156326
0.855914864558369,0.8540657318657086,0.807574714421821
0.8623318392136724,0.8640700007228692,0.8281755415570302
0.826177761987827,0.8252840497655217,0.7862358826367283
0.8298309491294859,0.8290946658368277,0.8322373028400388
0.7385522621371002,0.7391803860024835,0.7507672499308207
0.7982865146930951,0.7985242367017465,0.7541437519764815
0.8319593347579022,0.8334903795780442,0.8000885474727757
0.7429111103537832,0.7436901481156928,0.7447789950584053
0.7779340804320696,0.7787295895381464,0.7381056990229123
0.7713121135269698,0.7700037449166205,0.7726653983992142
0.875062385782167,0.8747366024250566,0.8370303242850577
0.7900374228949345,0.7892997496071203,0.7261032966692813
0.7443284149244199,0.7446244918340146,0.7231637127657561
0.8069058014298565,0.8074350834111439,0.807472975385213
0.7586877307610522,0.7583151777231737,0.7055293123505234
0.7705286664153658,0.7703720100860633,0.7518864634014882
0.8421554576004586,0.8415863140147237,0.8083814240209763
0.7284627413100613,0.7285201221136277,0.7054907707934515
0.8222793065048282,0.8226440535120199,0.7868765568396792
0.688959918609925,0.6889737049461332,0.6518035310659259
0.7852887372224624,0.7875761176695849,0.7895863768367396
0.7653651332486497,0.7648438678367191,0.7429199102489015
0.8538664280270472,0.8541429331480002,0.8454420508199889
0.7848071000124243,0.7860208068338697,0.7488624547826706
0.784511721979299,0.7842807348902654,0.7547181803457804
0.7891974090615632,0.7882676846097676,0.7403932916607974
0.7818176759577021,0.7817725408597904,0.7326994250461234
0.8558560136076491,0.8549512320930074,0.7957822553760228
0.7977630788096055,0.799330085312387,0.7696574077895677
0.8738084522350733,0.8737587163511679,0.8682138145153888
