Model,R2_inner_mean,R2_inner_std,MAE_inner_mean,Mode,Fold
ET+LGBM+XGB,0.740278100905414,0.04724961973405594,0.4972398310585365,morgan,1
RF+SVM+kNN,0.7396217512526133,0.04959707872919424,0.49173517448509124,morgan,1
RF+LGBM,0.7324837979885582,0.053551130769212106,0.49723023188739585,morgan,1
RF+ET+LGBM,0.731719847102942,0.054614333613114026,0.499347040585855,morgan,1
RF+LGBM+kNN,0.7314571507846666,0.05944912154547093,0.4993345784161164,morgan,1
XGB+kNN,0.7312608775392313,0.036850269594112105,0.5113153489097688,morgan,1
RF+XGB+kNN,0.7308207405062299,0.04435283262775927,0.502925969756969,morgan,1
ET+LGBM+kNN,0.7289199372214602,0.06361769331206286,0.5036857320074917,morgan,1
LGBM+kNN,0.7252732930968668,0.06660621937301725,0.5085563171553203,morgan,1
ET+XGB+kNN,0.724462520832134,0.04152056679737464,0.5138425903593526,morgan,1
ET+LGBM,0.7238155777999689,0.05766760849192759,0.5109897284521436,morgan,1
RF+XGB,0.7222571647013432,0.03538590070379,0.5075008921467029,morgan,1
RF+kNN,0.7199427708822521,0.05398981614618077,0.5132220987336458,morgan,1
RF+ET+XGB,0.7199067055975008,0.03835947072484551,0.5091580427565111,morgan,1
RF+ET+kNN,0.7198017739919079,0.0563939003988504,0.5141270907273024,morgan,1
LGBM,0.7162629605896337,0.0641563026379984,0.511659169517058,morgan,1
RF,0.7126956515893791,0.044041422236085655,0.509863398282457,morgan,1
RF+ET,0.7121996199130968,0.045152562123293806,0.5143086347579964,morgan,1
ET+XGB,0.6999514507540884,0.0358566048965076,0.5323111367922098,morgan,1
XGB,0.6989286614983112,0.03773577099531128,0.5235473819095761,morgan,1
ET+kNN,0.698107461141328,0.05869317543462587,0.541193945114028,morgan,1
kNN,0.6632142186445965,0.0768158133547348,0.5630983396191735,morgan,1
ET,0.5381339681375243,0.04663248998611506,0.6214233081783525,morgan,1
RF+SVM,0.7180666492469361,0.04292034719122624,0.49303877312052224,morgan,2
RF+SVM+kNN,0.7178105319723418,0.048930865200231585,0.4932192582240086,morgan,2
RF+LGBM+SVM,0.7167463877411384,0.041128845586490666,0.4951398885935621,morgan,2
RF+ET+SVM,0.7160896919643227,0.04630914434260176,0.49395057072274184,morgan,2
ET+LGBM+SVM,0.714692118673305,0.0472242903177717,0.5031307643033353,morgan,2
LGBM+SVM,0.7146517299484034,0.04444263547956999,0.5069746972792635,morgan,2
RF+LGBM+kNN,0.713732958781542,0.04817825068876909,0.497830100311406,morgan,2
LGBM+SVM+kNN,0.7136077180116802,0.05297899538978317,0.5011138190443466,morgan,2
RF+kNN,0.7122116257820718,0.05080560960464422,0.49823872498017463,morgan,2
ET+SVM+kNN,0.710707601182347,0.054865727506102455,0.5018662609297653,morgan,2
RF+ET+kNN,0.7106812746196273,0.05330198045935176,0.4984216765410684,morgan,2
RF+XGB+kNN,0.7101638952770439,0.05304659415645374,0.5003138126732751,morgan,2
RF+XGB+SVM,0.7101365816538391,0.04648817929030451,0.4997016659943294,morgan,2
RF+LGBM,0.709993634708495,0.04252940262933703,0.4993144718699368,morgan,2
