Mode,Fold,Selected_Model,R2_outer,MAE_outer,N_train,N_test,N_features_total,N_features_selected,N_predictions_clipped,Time_s
rdkit2d_fp,8,ET+LGBM,0.775069904785293,0.41110166851487745,605,151,2265,1279,0,731.0631132125854
rdkit2d_fp,9,ET+LGBM,0.5515198914151208,0.5661350827919316,605,151,2265,1251,0,729.0325164794922
rdkit2d_fp,10,ET+LGBM+kNN,0.7456610715776386,0.5159659995201695,604,152,2265,1266,0,724.0643320083618
rdkit2d_fp,11,ET+LGBM+SVM,0.7866399728677425,0.44623640104328666,605,151,2265,1240,0,699.9783475399017
rdkit2d_fp,12,ET+SVM+kNN,0.7312236851648938,0.4456191036601259,605,151,2265,1275,0,690.1848349571228
rdkit2d_fp,13,ET+LGBM+SVM,0.7551756640304426,0.45437857607644205,605,151,2265,1260,0,741.3754227161407
rdkit2d_fp,14,RF+ET+LGBM,0.6762992728260673,0.5471065565665474,605,151,2265,1279,0,786.0309426784515
rdkit2d3d_fp,0,ET+LGBM+XGB,0.7920863541562219,0.45250338770478,604,152,2275,1264,0,770.6152305603027
rdkit2d3d_fp,1,ET+LGBM+SVM,0.7011184412406609,0.4808978941719006,605,151,2275,1258,0,754.0135388374329
rdkit2d3d_fp,2,ET+LGBM+kNN,0.7323677604514928,0.522945533959421,605,151,2275,1238,0,760.2451078891754
rdkit2d3d_fp,3,ET+LGBM,0.7977798572252672,0.43877422367555763,605,151,2275,1275,0,742.9315748214722
rdkit2d3d_fp,4,RF+LGBM+SVM,0.6842796470936314,0.4674483610429539,605,151,2275,1287,0,752.1267809867859
rdkit2d3d_fp,5,ET+LGBM+SVM,0.7966375609355064,0.45939656956138597,604,152,2275,1274,0,756.8133294582367
rdkit2d3d_fp,6,ET+LGBM+kNN,0.7840298512226439,0.4670830625597405,605,151,2275,1245,0,755.9117007255554
rdkit2d3d_fp,7,ET+LGBM+SVM,0.7650166154033299,0.4829514064609455,605,151,2275,1260,0,741.4866230487823
rdkit2d3d_fp,8,ET+LGBM,0.7868856197475778,0.40359852704947285,605,151,2275,1264,0,747.7977283000946
rdkit2d3d_fp,9,ET+LGBM,0.5496344740369368,0.5638078449890912,605,151,2275,1242,0,764.9829382896423
rdkit2d3d_fp,10,ET+LGBM+kNN,0.7438611595283577,0.5173877702528487,604,152,2275,1263,0,721.4613287448883
rdkit2d3d_fp,11,ET+LGBM+SVM,0.79007145095451,0.44667621483748665,605,151,2275,1257,0,718.5600097179413
rdkit2d3d_fp,12,ET+SVM+kNN,0.7267574593095417,0.44644246665041065,605,151,2275,1266,0,729.9689702987671
rdkit2d3d_fp,13,ET+LGBM+SVM,0.767231326576914,0.43894399865353956,605,151,2275,1255,0,757.0271527767181
rdkit2d3d_fp,14,ET+LGBM,0.6626311470692587,0.5596034277002595,605,151,2275,1274,0,711.0148770809174
